,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224392,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224181,SRR9224180,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224307,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224304,SRR9224301,SRR9224302,SRR9224309,SRR9224310,SRR9224420,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415,SRR9224414
Bacteroides_cellulosilyticus_58046_A,0.0393189901577,0.0334183602029,0.0378961650086,,0.027742760598,0.0286746746705999,0.0330727384479,0.0169104748242,0.0290998932584,0.0225155428798,0.0266234587713,,0.0317804559526,0.0350936472951999,0.0308170850503,0.0680696267483,0.0277050643065,0.0384132269332,0.0277436114874,0.0259735737201,0.0261968192477,0.0274979865236,0.0197492104641,,,0.0231200246033,0.028964850642,0.0201038960671,,,,,,,,,,,0.0162902955648,,0.0299847032915999,,,,,,,,,,,,,0.0230664446230999,,,
Bacteroides_thetaiotaomicron_56941_A,0.0464653764095,0.0348688000889,0.039028504552,0.0383355960495,0.0433402702116,0.0460587477793,0.0508474393966999,0.027451594595,0.0578585188108,0.0630088576001,0.0685378465515,,0.0560505840006999,0.0598284167728,0.0456301395505999,0.0623624669914,0.0698099150968,0.0539002279424,0.0407708661414999,0.0460527825965,0.0466267144021999,0.0426219455396999,0.0243707975768,0.0494920322689,0.0285185868404,0.0383266216781999,0.0407862482227,0.0453125392205999,0.0668336415989,0.0737439689955,0.0472425229386,0.0583490166718,,,0.0572992676233,0.0463356860559,0.0343620032489,0.0488181164864,0.0319448869212,0.0336382973593,,0.0348609120708,0.0413449594794,0.0560038118195,0.0729344300438999,,0.072830440662,0.0634058846619,0.0580062600732,0.0686679076675,,0.0448792559374,0.0369700833608,0.0559487622783,0.0473586162514,0.0233811017632,
Bacteroides_massiliensis_44749_A,0.0085673596782253,0.0078214427548636,0.0093250238444776,0.0098884496687205,0.0083763267464366,0.0089738800412591,0.008824920733923,0.0087598328097735,0.0088886271345116,0.0086819808425753,0.0089228264253552,,0.0084152480136086,0.0080597952561719,0.0075733992198196,0.0074536020997808,0.00645063138805,0.0084680102931923,0.0074039345826422,0.0103050039420361,0.0081427641731071,0.0057535206951363,0.0046034071471476,0.0084795039856956,0.0063157694868333,0.0100317380178282,0.0089759445067605,0.0099173749620802,0.0117249631735238,0.0101826137516666,0.0091127319485294,0.0104661323416153,,0.01293062835496,0.0094310685138666,0.0101768911143157,0.0114930345047692,0.008134815422758,0.0086612273719384,0.011650985371641,0.0094271131781578,0.0094203216343529,0.0106284350191428,0.0104008314389572,0.0121594332582352,0.01348936590975,0.01647334322784,0.0096662702287142,0.009963693282875,0.011089477563875,0.0154114762763636,0.008984768229,0.0087793827805312,0.0084641482645333,0.0106040507105128,0.0108430006062537,0.0124860900644
Bacteroides_massiliensis_44749_B,0.1941934860397746,0.1642502978521363,0.1989338420155224,0.2142497428222794,0.1898634062525634,0.2101358053347408,0.2206230183480769,0.2233757366492264,0.1822168562574883,0.2025795529934246,0.1769574936676448,,0.1851354562993913,0.184022597981828,0.1464190515831803,0.1739173823282192,0.12256199637295,0.2117002573298076,0.1943532827943578,0.2748001051209638,0.2198546326738928,0.1208239345978636,0.0920681429429523,0.1865490876853043,0.1073680812761666,0.2165152607611717,0.2034547421532394,0.2618186989989197,0.2344992634704762,0.1425565925233333,0.1458037111764706,0.1255935880993846,,0.14870222608204,0.1320349591941333,0.1831840400576842,0.2126211383382307,0.1599847033142419,0.1789986990200615,0.2155432293753589,0.1696880372068421,0.150725146149647,0.2125687003828571,0.1637742860910427,0.1945509321317647,0.14838302500725,0.18944344712016,0.1256615129732857,0.149455399243125,0.166342163458125,0.1541147627636363,0.113807064234,0.1785141165374687,0.1819791876874666,0.1961749381444871,0.2313173462667462,0.1435900357406
Alistipes_putredinis_61533_A,0.0960439575141,0.0894315216641,0.1156804141,0.0919923390897,0.0958877784649,0.127215330934,0.0940977982436,0.123857644749,0.128475125931,0.100790067387,0.10555549585,,0.10620536336,0.124100803071,0.08259647694,0.0816648126986,0.149107384731,0.101853275794,0.126979526363,0.0996961387111,0.125008705412,0.162169262049,0.0672961306048,0.0642327873316,0.2291506770499999,0.122130162478,0.104060819877,0.100163946045,0.0942581018824,0.142955446447,0.0827891074814,0.187072729683,,0.168619430013,0.1355814761779999,0.123782584827,0.132996887792,0.126880485945,0.130712273071,0.121889239925,0.147371921716,0.16026412864,0.13078006964,0.139745981686,0.0629904547637,0.137609609247,,0.0766482873996,0.125416321655,0.139171936634,0.123357234468,0.149489988245,0.135201750822,0.130067986304,0.143508257071,0.0788352832086,0.114792365787
Bacteroides_uniformis_57318_A,0.15413390705,0.1048946348,0.113355716651,0.131822352328,0.148907606759,0.1138115619349999,0.123576712328,0.0995408108217,0.133585035928,0.0975677396584999,0.1058818206849999,,0.109351367035,0.095770549087,0.11172583767,0.13975755701,0.195703720683,0.135763484498,0.160478337385,0.171211776374,0.2191326621979999,0.185515546054,0.2175388427589999,0.189161665954,0.1346373445949999,0.117964965555,0.1658061370769999,0.169111854865,0.103551614869,0.129185669871,0.163945053569,0.203121329802,,0.1096446949389999,0.1111261309559999,0.148453048438,0.153197002279,0.145169109478,0.162357668204,0.1236804941379999,0.0912714606596,0.165378290833,0.112479712845,0.108123544967,0.1322742622859999,0.18647646973,0.1693056814559999,0.140010164415,0.137662747342,0.168504867038,0.176183435234,0.167762053982,0.211935069944,0.1688452222879999,0.147560203258,0.0894802168714,0.168866479992
Bacteroides_vulgatus_57955_A,0.10367755936,0.118778432932,0.11847527761,0.1165779623069999,0.119334813893,0.0856523401569999,0.0999045886669999,0.0754273605148,0.0884600714468999,0.113282127744,0.106053184793,,0.0975111713506,0.102768475138,0.106577068784,0.0931281424348,0.0476974902401,0.0966133345315,0.0705021015409999,0.0543602473171999,0.0342987875367,0.0479697901089,0.0220681088694,0.053293306867,0.0394968358075,0.1193971593229999,0.100517902017,0.0548865361441,0.0986913941803,0.0635094611488999,0.0376515666775999,0.0821739501956,,0.159655482431,0.1603563985599999,0.1377484000919999,0.103472786443,0.145822568607,0.131050664168,0.129109681761,0.1237139426,0.0740735168983,0.119944016741,0.1176689864809999,0.0532612839024,,,0.106244206191,0.139318734654,0.123279154318,0.141820729477,0.098450070416,0.101923018694,0.083906322447,0.118186957252,0.126073113491,0.14108728904
Eubacterium_rectale_56927_A,0.0143361584342499,0.068426502741275,0.033824821636,,0.012113399654109,,,0.0377056619783217,,0.0104276042874749,0.0206119421616428,,0.02354652404895,0.0115580795858785,0.0277097845204375,,,0.0146636921805,0.0150090980841214,,,0.0355823631184347,0.1114214468602692,0.057147684118275,0.0746599234405956,0.030994219378923,0.0179136784663375,0.0202738944694799,,,,,,,,,,0.0259316840424857,,,,0.0262807680070722,,,0.0528731437860499,,,0.04834350710456,,,,0.0314262994126846,,0.02375322204824,,0.0540412200650526,
Eubacterium_rectale_56927_B,0.0028672316868499,0.009775214677325,0.0101474464907999,,0.0045425248702909,,,0.0104737949939782,,0.0034758680958249,0.0056214387713571,,0.00784884134965,0.0031522035234214,0.0063945656585625,,,0.0039991887765,0.0040933903865785,,,0.0053373544677652,0.0109852130707307,0.019049228039425,0.0071104688991043,0.0092982658136769,0.0081425811210625,0.01351592964632,,,,,,,,,,0.0043219473404142,,,,0.0101079876950277,,,0.0075533062551499,,,0.0120858767761399,,,,0.0139672441834153,,0.0059383055120599,,0.0144109920173473,
Bacteroides_ovatus_58035_A,0.00413146685,0.0032306342126388,0.003335541126221,0.0038330622040344,0.0028581614443611,0.003056531091926,0.0023941423111108,0.0023642843380541,0.0038320071231102,0.0027895139419999,0.0034858700106896,,0.0032499548784666,0.0031181253996066,0.0029083481495689,0.014609267539266,0.0046064070701675,0.0032129397310393,0.0062000894886027,0.0065506826300302,0.0041112836382374,0.0025703378849648,0.00168411032595,0.0042528398289727,0.0035986254596333,0.0042510135717111,0.0044910831679465,0.0032647323912352,0.0099385176404444,0.0090958936273333,0.0063894252589642,0.0056699276176899,,0.0088314894096299,0.011715953472909,0.0053347855186266,0.0036790018825,0.004121749416515,0.0037027535706206,0.0053891692503583,0.0092311743116399,0.0061939968578416,0.0137719489452307,0.0095657445826956,0.0075975652311299,0.0057783535668499,0.0084101035608199,0.006389772141209,0.0055315966970846,0.0060906765793,,0.0055005282919399,0.0039148537571684,0.0042394256309314,0.0055655255921833,0.0042941197298699,0.0098859418483571
Bacteroides_ovatus_58035_B,0.0991552044,0.0549207816148611,0.0600397402719789,0.1073257417129655,0.0928902469417388,0.0672436840223739,0.0861891231999892,0.0543785397752458,0.0900521673930897,0.106001529796,0.0976043602993103,,0.0942486914755333,0.0904256365885933,0.081433748187931,0.1446317486387339,0.0806121237279324,0.0947817220656606,0.1069515436783972,0.0873424350670697,0.0945595236794624,0.0925321638587351,0.01852521358545,0.0425283982897272,0.0395848800559666,0.0531376696463888,0.0598811089059534,0.0522357182597647,0.1242314705055555,0.1819178725466666,0.1725144819920357,0.0510293485592099,,0.07948340468667,0.1171595347290909,0.0746869972607733,0.036790018825,0.078313238913785,0.0499871732033793,0.0592808617539416,0.06769527828536,0.0681339654362583,0.1205045532707692,0.1004403181183043,0.06837808708017,0.05200518210165,0.07569093204738,0.0638977214120909,0.0663791603650153,0.0730881189516,,0.04950475462746,0.0704673676290315,0.0699505229103685,0.0612207815140166,0.03864707756883,0.1285172440286428
Alistipes_onderdonkii_55464_A,0.0088364249356923,0.0087775404200384,0.01479544646364,0.007133611166923,0.0149760269412526,0.0217083694204631,0.0178899756020625,0.0124912158088437,0.0129153386192307,0.0149269140942,0.01790496771788,,0.0131994602211153,0.0161771726554333,0.0120911342728,0.0126970494999687,0.0218989914904923,0.0112985306552666,0.011692280273,0.0133778386083478,0.0151096811968333,0.0143523800162962,0.0212066075010947,0.0148445017818818,0.01607633915208,0.00852863313576,0.00810593777883,0.0099779846852615,,,,,,,,0.01574010148412,,0.0105463904615076,0.0115036678188124,,0.0107594739216399,0.0129546514766923,,,,0.0233800246974909,,,0.01478216729396,0.01634565714068,,0.014405869862,0.0102600252045454,0.0158481217824727,0.01456990742704,,
Alistipes_onderdonkii_55464_B,0.0141382798971076,0.0140440646720615,0.0221931696954599,0.0114137778670769,0.0256731890421473,0.0372143475779368,0.0298166260034375,0.0274806747794562,0.0290595118932692,0.0223903711413,0.02685745157682,,0.0211191363537846,0.0323543453108666,0.0241822685456,0.0279335088999312,0.0492727308536076,0.0225970613105333,0.0292307006825,0.0250834473906521,0.0302193623936666,0.0340869025387037,0.0459476495857052,0.0395853380850181,0.04420993266822,0.01990014398344,0.01891385481727,0.0224504655418384,,,,,,,,0.02361015222618,,0.0237293785383923,0.0253080692013875,,0.01613921088246,0.0207274423627076,,,,0.040915043220609,,,0.02217325094094,0.0245184857110199,,0.0230493917792,0.0179550441079545,0.0277342131193272,0.0218548611405599,,
